,Tipo de inmueble,Modalidad,Precio UF,Precio CLP,Comuna,Baños,Dormitorios,Descripcion
58,Departamento,comprar,"2.784,78",78.000.000,Estación Central,2,3,"Se vende excelente departamento con una privilegiada ubicación a pasos de Metro Las Rejas, hacia el Sur de Avenida Alameda, comuna de Estación Central. El departamento cuenta con 3 habitaciones y 2 baños, living comedor y cocina aislada y completamente equipada con  logia con conexión para lavadora. Las dimensiones son aproximadamente 58 metros cuadrados útiles, los que se encuentran distribuidos de una manera armónica que permite tener espacios libres y cómodos. Tiene estacionamiento propio en el primer piso, cuenta con piso flotante en todo el departamento y alfombra en las habitaciones. La vista del departamento es Nor-Oriente y con el privilegio de ver el arque interior del condominio en el que se encuentra emplazado. El complejo habitacional en el que se encuentra el departamento es realmente innovador,  ya que cuenta con inmensas y muy bien distribuidas áreas verdes que te hacen sentir en medio de un parque público, pero protegido con seguridad privada las 24 horas del día. El condominio cuenta, además, con áreas comunes como Club House, piscina grande, quinchos y juegos infantiles.  Cercano encuentras todos los servicios necesarios, tales como Mega Supermercados, Construmart, colegios, Hospitales, a tres minutos de la autopista General Velásquez, a pasos del inicio de la ruta 68 a Viña del Mar, y el acceso en vehículo al edificio es completamente expedito de tráfico fluido.Gastos comunes: $50.000No existe gasto de comisión para el comprador.Interesados comunicarse [email protected] y al +56987299129.Precio $78.000.000"
59,Casa,comprar,"2.070,73",58.000.000,Lo Espejo,1,4,240m2
60,Casa,comprar,"2.320,65",65.000.000,Lampa,1,2,"Se vende acogedora casa en Lampa, muy bien cuidada, en villa Jardines de La Estación. Casa de 2 pisos con estacionamiento y  patio trasero con cobertizo.La casa cuenta con:- 2 Dormitorios- 1 Baño- 1 Cocina Amoblada - 1 Loggia- Patio Trasero de amplio espacio- Entrada de Autos techada para 2 vehículos.Para agendar visitas enviar mail  enviar un Wsp al +56 9 85025150 corredor Marco Pereira."
61,Departamento,comprar,"2.142,14",60.000.000,Estación Central,1,2,"EXCELENTE OPORTUNIDAD DE INVERSIÓNSe Vende Departamento con Estacionamiento y Bodega.El departamento cuenta con:- 2 dormitorios.- 1 baño- Cocina amoblada.- Estacionamiento Subterraneo.- Bodega de 5mts 3- Gastos Comunes aproximadamente de 35.000.Además el edificio cuenta con:- Lavandería- Gimnasio- Salas de Eventos- Conserjería las 24 hrs- Accesos controladosCercano a Metro Las Rejas, Espacio Urbano, Hospitales , etc.contactar  a corredor vía mail o al wsp +56 9 85025150"
62,Departamento,comprar,"3.141,81",88.000.000,Santiago,1,1,"¡Atención Inversionistas!Se vende precioso e impecable departamento ubicado en un segundo piso con excelente iluminación, remodelado, a pasos de la estación de metro Bellas Artes, cercano al Barrio Lastarria, a pasos del  supermercado Líder, cafés, restoranes , locales comerciales, etc.Ideal para arrendar por días en plataformas tipo Airbnb, en un lugar muy solicitado por turistas.La propiedad cuenta con:- Living.- Cocina- 1 Dormitorio en suite.- Amplio baño principal con puertas de vidrio. - Closet.- Sin ascensor.- No tiene estacionamiento.Gastos comunes: $20.000 incluyen agua caliente. contactar a Marco Pereira el corredor de PropiedadesConsiderar comisión del 2%."
63,Casa,comprar,"2.499,16",70.000.000,La Florida,1,3,"Se vende acogedora Casa de 2 pisos a 8 cuadras de Vicuña Mackenna, altura metro Elisa Correa, muy bien mantenida:La Casa cuenta con :3 Dormitorios1 BañoCocina AmobladaLiving- Comedor separadoPatio TraseroEstacionamiento para 1 vehículo.La casa esta cercana a Supermercados, Hospitales, Bomberos, Metro, Colegios, etc.Exenta de Contribuciones.Wsp: +56 9 85025150Comisión de Corretaje 2%"
64,Casa,comprar,"3.391,72",95.000.000,San Bernardo,3,3,"Se vende casa de dos pisos aislada. en Condominio Lomas de Nos San Bernardo.Superficie106 m² construida200 m² terrenoSegundo Piso:Tres dormitorios (habitación matrimonial en suit), todos con closet, dos baños, sala de estar.Primer piso:Living comedor por separados, cocina tradicional con comedor de diario, bodega, home office, estacionamientos para dos vehículos.Equipamiento del condominio:Piscinas, club house, estacionamientos de visitas, juegos para niños, cámaras de seguridad, conserjería las 24 hrs.Ubicación:Camino Padre Hurtado, a 2 kilómetros del autopista acceso sur, Mall plaza sur, metro estación Nos, supermercados, colegios."
65,Casa,comprar,"2.495,59",69.900.000,San Bernardo,1,2,"CASA ESQUINAExcelente ubicación y proyección comercialPrimer piso: AlbañileriaSegundo piso: Tabiqueria en Vulcometal, con revestimiento exterior  Siding fibrocemento.Terreno: 110 m2Casa:55 m2Los Zorzales 1037, Villa Las Palmas San Bernardo.Con su documentación al día. *** PRECIO REBAJADO POR VIAJE"
66,Casa,comprar,"2.035,03",57.000.000,Puente Alto,2,3,"VENDO CASA UBICADA EN PASAJE HERMANO ELIODORO, VILLA HERMANO DE LA SALLE COMUNA DE PUENTE ALTO, CASA AMPLIADA DE CONSTRUCCION FIRME (NO REGULARIZADO) LA CASA CUENTA CON 2 PISOS PRIMER PISO: LIVING, COMEDOR Y CONCINA, BAÑO VISITAS, PATIO TRASERO Y DELANTERO (ARREGLADO PARA ESTACIONAR 2 VEHICULOS)SEGUNDO PISO: 3 HABITACIONES Y BAÑOSALDA INMEDIATA A AUTOPISTA ACCESO SUR, SUPERMERCADOS, COLEGIOS, JARDINES INFANTILES.PARA COORDINAR VISTITAS CONTACTARSE CON RODRIGO +56971094427 O MARIA JOSE +56932159624"
67,Casa,comprar,"1.678,01",47.000.000,La Cisterna,1,2,"Se vende casa ubicada en calle Nueva Oriente 9246.La propiedad tiene una superficie total de 280m2 y 74,8 metros cuadrados construidos.Tiene 2 dormitorios, 1 baño, acceso a 1 estacionamiento, cocina y reja. La casa se encuentra en regular estado, por eso el precio.Para mas informaciónLlamar o enviar whatsApp +56985251359"
68,Departamento,comprar,"3.391,72",95.000.000,Ñuñoa,1,2,"SE VENDE DEPARTAMENTO EN ÑUÑOACARACTERÍSTICAS DEL DEPARTAMENTOSuperficie: 44 m2 aprox.Cantidad dormitorios: 2Cantidad de baños: 1Cocina: Cocina AmericanaNúmero depto: 181Piso: 18Orientación: Sur (Fresco durante el verano)Dirección: San Eugenio 1209, Ñuñoa.Estacionamiento: En subterráneo -2Bodega: En subterráneo -3Gastos comunes: $50.000 mensuales aprox.Único dueño.CARACTERISTICAS DEL EDIFICIO:Número de pisos: 25Ubicación: a 300 metros del metro Ñuble, por donde pasa la línea 5 del metro y la nueva línea 6.Se encuentra frente al parque San Eugenio (Parque de 500 metros de largo, ideal para trotar). Está ubicado a 3 cuadras de una Copec, y a 1 km de Supermercado Líder Express.Tiene aproximadamente 50 estacionamientos para visitas en el patio del edificio (Cerrado).El edificio tiene gimnasio, salón de pool, sala de computadores, quincho en terraza, quincho en el patio y salón de eventos.Tiene una lavandería con lavadoras y secadoras en primer piso.El edificio tiene en la terraza un jacuzzi privado que se reserva por $10.000.El edificio tiene un terreno muy grande, áreas verdes, plazas interiores, y una piscina en forma de 8 como se ve en las imágenes.Conserje en la entrada de la calle y en primer piso del edificio.Control y seguridad del edificio con cámaras.IMPORTANTE: EL COMPRADOR SE LLEVA DE REGALO TODOS LOS MUEBLES QUE SE VEN EN LAS FOTOS, ESTO ES:LED 55"" Samsung en Living ($1.100.000)Sofá de tienda 3°Piso Parque Arauco ($700.000)Cortina Hunter Douglas Motorizada y con Control Remoto ($950.000)Rack Rosen Negro ($300.000)Subwofer Samsung 5.1 ($150.000)Refrigerador Daewoo ($500.000)Juego de Terraza de Ratán ($120.000)Cama 2 plazas + Veladores ($400.000)LED 42"" LG ($400.000)Camarote habitación 2 ($200.000)NOTA: Estos precios fueron los que se pagaron por los muebles.EL DEPARTAMENTO SE PUEDE VISITAR A CUALQUIER HORA, CUALQUIER DÍA DE LA SEMANA.NÚMERO DE CONTACTO PARA LLAMADAS O WHATSAPP: +56993059035 (GIO, PROPIETARIO)"
69,Departamento,comprar,"1.785,11",50.000.000,La Florida,1,3,"Acogedor departamento con 3 dormitorios piso ceramica, un baño con ceramica . cocina y logia con un estacionamiento  (tercer piso) 48 metros cuadrados aprox"
70,Casa,comprar,"3.213,21",90.000.000,Puente Alto,2,3,"Comoda casa totalmente solida con mejor conectividad Living -comedor 3 dormitorios 2 baños cocina amoblada y comedor de diario logia Ante jardín  y patio trasero ,cobertizo de tejas asfálticas terraza con planchas UV sistema inteligente con cámaras de seguridad puede prender las luces desde cualquier lugar que este a través del  celular"
71,Casa,comprar,"6.069,40",170.000.000,Pedro Aguirre Cerda,3,4,"Se vende casa Casa esquina 6 dormitorios baño cocina living comedor, sala de estar entrada de vehiculo 2 locales comerciales, uno funcionando como restaurante al dia toda documentacion, patentes al dia de restaurante dia y noche de alcohol y de bar, funcionando buena clientela"
72,Casa,comprar,"624,79",17.500.000,La Reina,1,3,"Se vende casa 3 dormitorios, 1 baño, living comedor, cocina, bodegas.Gran patio de 300m2, con posibilidad de construir habitaciones con entrada independiente para rentar"
73,Departamento,comprar,"2.000,00",56.018.660,Santiago,1,1,"Excelente departamento para inversión a dos cuadras de metro Santa Ana (línea 2- línea 5). Cuenta con living comedor con pequeño balcón y sistema de calefacción, cocina americana equipada con encimera, horno y campana eléctrica, un dormitorio con clóset, baño con tina y conexión a lavadora. Inmejorable ubicación en Condominio con vigilancia las 24 hrs., entrada con torniquete, piscina, quincho, lavandería, sala de eventos, estacionamiento de visitas y motos. Gastos comunes: $55.000.- aprox. incluyen agua caliente. Exento de Contribuciones.Constructora: ArmasAño del Edificio: 2016"
74,Casa,comprar,"4.284,28",120.000.000,Maipú,2,3,"URGENTE!!!!!!, Necesito comprar casa en la comuna de Maipu, específicamente en los sectores de Avda central, Luis Gandarillas, Primera transversal, segunda transversal, cerca de Villa Perlak, o sus alrededores que cumpla con los siguientes requisitos:3 dormitorios2 bañosLiving -comedorCocinaAntejardinEstacionamiento para 2 vehículosPatio con pasto o tierra para poder poner pastoBuen estadoPago dependiendo estado de la propiedadFavor contactar urgente a los números 974881760 o al 985966784"
75,Casa,comprar,"4.998,33",140.000.000,Puente Alto,2,3,"En venta linda casa ubicada en Conjunto Habitacional Campanario Parque Residencial, Puente Alto.$150.000.000Cercana a colegios, supermercados, centro de estudios superiores Inacap, excelente conectividad, a cinco minutos caminando a estación de metro Sotero del Río, Vicuña Mackenna.Características:Amplio Living Comedor2 baños3 dormitoriosCocina amobladaBodegaAmplio ante jardínPatio traseroPatio posterior para estacionar 3 vehículos."
76,Casa,comprar,"2.856,19",80.000.000,Huechuraba,1,3,"Se vende propiedad cercana a colegios y locomocion colectiva:Construido 70Terreno 150 3 dormitorios, 1 baño, living . cocina, entrada 3 vehiculos , antejardín , patio."
77,Departamento,comprar,"4.819,82",135.000.000,La Florida,2,3,"Impecable dpto $135.000.000.-, Florida Center, Metro Mirador, linea 5,  Living comedor amplio, iluminado, con piso flotante vitrificado, salida a terraza orientacion norteCocina amoblada y equipada, piso y muro ceramica 3 amplios domitorios (1 suite), con piso flotante, closet en todos los dormitorios, 2 baños,  con piso y muro en ceramica100mt2 Utiles, 90mt2 totalesestacionamiento, excelente ubicacion, metro pedrero y mirardor, frente a mall florida center, frente a supermercado, farmacias, servicios. a minutos de mall plaza vespucio, clinica vespucio, locomocion a la puerta, varias vias CocinaCompletamente Amoblada, equipada con encimera, hornoGastos comunes $70.000.-Edificio equipado con:PiscinaGimnasioSala de eventosseguridad y conserjeria 24/7CCTVJardinesPiso 10Vista PonienteAño construccion 2008Se acepta Credito Hipotecario, Subsidio DS1, Leasing, Pago en efectivovalor poco conversable.Atrevete a comprar, gestionamos tu credito!! (Consumo o Leasing) ContactanosMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos,   Ejecutiva+56 9 3325 8412 Kelly Salas, Ejecutiva+56 9 5988 8730 Jonathan Estay, EjecutivoOficina2 3285 6659"
78,Casa,comprar,"1.535,20",43.000.000,San Bernardo,1,2,"ADB Vende!!San Francisco/ Vecinal Sur, San Bernardo 2D, 1B43.000.000.-105mt2 Terreno, 80mt2 construidos -Living comedor amplio e iluminado, piso en ceramica.-Cocina, amplia, independiente, piso en ceramica.-2 Amplios dormitorios, ideal para camas de 2 plazas.-Baño, piso en ceramica.-Estacionamiento 2 Vehiculos.105mt2 Terreno (7mt Ancho x 15mt Largo)80mt2 construidos (6mt ancho x 8mt Largo)35mt2 Patio TraseroCercano a Supermercados, Farmacias, Hospital, ColegiosConectividadAutopista central 6kmAcceso Sur 6kmTransporte publicoMetro (futura estacion El Pino 2020) ColectivosTransantiago (203,228,229,G05,G08)Se acepta Credito Hipotecario, Subsidio DS1, Leasing, Pago en efectivo.valor poco conversable.Atrevete a comprar, gestionamos tu credito!! (Consumo o Leasing) ContactanosMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos,   Ejecutiva+56 9 3325 8412 Kelly Salas, Ejecutiva+56 9 5988 8730 Jonathan Estay, EjecutivoOficina2 3285 6659"
79,Casa,comprar,"1.606,60",45.000.000,Isla de Maipo,2,4,"9 Dormitorios, 2 Baños 1 ESt, Isla de MaipoBalmaceda (Continuacion camino Lonquen)/ Cacha de Carrera, Isla de Maipo $48.000.000.-9 Dormitorios, 2 Baños, 220mt2 Construidos, 180mt2 TerrenoLiving comedor juntos, amplio, iluminado, salamandraBaños, 1 baño completo en 1er piso, baño completo en 2do pisoCocina IndependientePatio trasero 20mt2, con techo, y horno de barroAnte jardin con estacionamiento para 1 vehiculoSe acepta Credito Hipotecario, Subsidio DS1, Leasing, Pago en efectivovalor poco conversable.Atrevete a comprar, gestionamos tu credito!! (Consumo o Leasing) ContactanosMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos,   Ejecutiva+56 9 3325 8412 Kelly Salas, Ejecutiva+56 9 5988 8730 Jonathan Estay, EjecutivoOficina2 3285 6659"
80,Departamento,comprar,"2.784,78",78.000.000,Pudahuel,2,3,"DEPTO METRO LAGUNA SUR 3D, 2B, 1EPRECIO: $78.000.000DPTO, amplio living-comedor3 Amplios dormitorios con piso flotante y excelente iluminacion 2 baños con ceramica en piso y muros, tina cocina independiente y amoblada1 EstacionamientoCondominio cuenta con sala de evetos, piscina, juegos infantiles, circuito cerrado de tv, gimnasio, bellos jardines y estacionamientos de visitas.Excelente conectividad, Metro, locomocion colectiva, acceso a autopistas Se acepta Credito Hipotecario, Subsidio DS1, Leasing, Pago en efectivovalor poco conversable.Atrevete a comprar, gestionamos tu credito!! (Consumo o Leasing) ContactanosMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos,   Ejecutiva+56 9 3325 8412 Kelly Salas, Ejecutiva+56 9 5988 8730 Jonathan Estay, EjecutivoOficina2 3285 6659"
81,Departamento,comprar,"3.748,75",105.000.000,Santiago,2,2,"Metro U de Chile 2D, 2B, tipo mariposa$105.000.000.-Espectacular departamento tipo Mariposa-Living comedor amplio, iluminado, con piso flotante, salida a terraza con mallas-Cocina tipo americana, con piso en ceramica, muebles empotrados y equipada con Horno, Encimera y Campana-2 Baños completos, con ceramica en piso y muros, con tina-2 Amplios dormitorios ideal cama King, con piso flotante, closet y baños en suite60MT2Departamento unbicado en el 2Do PisoGastos Comues $58.000.-edificio equipado con -Piscina Panoramica-Quincho-Sala de juegos para niños-Juegos Infantiles-Salon de Eventos-Sala de Reuniones-Gimnasio EquipadoSeguridad 24/7, control de accesoExcelente UbicacionCercano a bancos, colegios, universidades, centros comerciales, farmaciasTransporte PublicoMetro Linea 1 y 3 Estacion U de ChileConectividad a Autopita central, Costanera NorteAtrevete a comprar!! gestionamos tu credito!!  Si te falta dinero gestionamos tu credito de consumo Contactanos!!ADB, Un Mundo de soluciones InmobiliariasMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos, Ejecutiva+56 9 5988 8730 Jonathan Estay, Ejecutivo+56 9 3325 8412 Kelly Salas, EjecutivaOficina2 3285 6659"
82,Casa,comprar,"18.950,00",530.776.803,La Reina,3,4,"VENDEMOS EXCELENTE  CASA EN JULIA BERNSTEIN, COMUNA LA REINA .Casa de  alto nivel constructivo en un selecto y exclusivo sector del Reina Alta;  sus 234 mt2 están construidos con una inteligente distribución en un solo piso, en un terreno de 869 mt2 que otorga  a la propiedad una comodidad y amplitud incomparable. Posee 4 dormitorios 3 baños completos, living y comedor separados, cocina equipada  con comedor de diario, patio de luz, cuarto de lavado más pieza y baño de servicio, adicionalmente tiene cuarto que podría ser utilizado como taller y/o oficina.Destacables de la Propiedad:  Ventanales  con puertas francesas,  pisos de madera vitrificada,  aire acondicionado, Jacuzzi en el baño principal, entrada para cuatro vehículos con control remoto, amplias  terrazas, hermosos jardines, piscina y quincho. Cercano a excelentes colegios como: Britisch Royal, Colegio Madrid, Nuestra Sra. Del Camino entre otros, además próximo a los mejores centros comerciales, farmacias, gimnasios y Clínicas.(Nota: medidas estimadas y otorgadas por los propietarios)"
83,Departamento,comprar,"3.320,32",93.000.000,Santiago,2,2,"Liquidamos Vicuña Mackenna/ Matta, 2 Dorm, 2 Baños 1Est, 1Bod.$93.000.000.-Amplio living comedor, iluminado, con piso flotante, salida a balconCocina tipo americana, con piso ceramica, con meson y muebles empotrados3 Dormitorios, principal en suite con baño y walk in closet2 Baños completos, con piso y muro con ceramicaTermo Electrico3 er PisoSe acepta Credito Hipotecario, Subsidio DS1, Leasing, Pago en efectivovalor poco conversable.Atrevete a comprar, gestionamos tu credito!! (Consumo o Leasing) ContactanosMas información y coordinar visitasAdministradora de bienes y servicios inmobiliarios SPAWhatsapp!!+56 9 3271 3503 Gloria Lobos,   Ejecutiva+56 9 3325 8412 Kelly Salas, Ejecutiva+56 9 5988 8730 Jonathan Estay, EjecutivoOficina2 3285 6659"
84,Departamento,comprar,"2.102,87",58.900.000,La Florida,1,3,"Propiedad en Villa Tokio, Barrio consolidado y tranquilo ubicado en segundo piso entre Walker Martinez y Av. La Florida, cercano a Estacion de Bencina, Colegios, Centro Medico, Multicancha y a minutos de Mall Plaza Vespucio.Distribucion:3 Dormitorios de piso Flotante Antihumedad 1 matrimonial 2 juvenil1 Baño con puerta corrediza en TinaCocina con Lava PlatosLiving Comedor con piso de cerámicaEsta desocupado listo para habitarprecio oferta $58.900.000 mas comisión corredoraSe recibe Efectivo, Crédito HipotecarioMuy buena oportunidad familiar!!!No dejes de visitar esta increíble propiedad, agenda una visita con nosotrosContáctenos:Oficina Av. Las Torres N°730, Comuna de Quilicura.Fono: (2)2926 2537 – Cel.: (9)8992 8917Fono: (2)2687 3967 – Cel.: (9)8988 6335"
85,Casa,comprar,"2.606,27",73.000.000,Lampa,1,2,"Casa de 1 piso, aislada, oriente, cuenta con cocina y baño recien remodelados,2 dormitorios1 bañojardin formadoentrada para 3 autospatio trasero con quincho y antejardin.bodegaNO PAGA CONTRIBUCIONESCercano a colegios, supermercados, centros medicos, locomocion colectiva.AGENDE SU VISITA, LA PROPIEDAD ESTA EN EXCELENTE ESTADO, LLEGAR Y HABITAR!!!"
86,Casa,comprar,"5.819,48",163.000.000,Ñuñoa,4,4,"Linda casa pareada de tres pisos muy iluminada, ubicada en uno de los sectores mas privilegiados de la comuna por su conectividad yaccesos. Rodeada de todo tipo de comercios, colegios, plazas, clínicas, cines, stripcenters, supermercados, restaurantes, etc. A pasos del nuevoMall Plaza Egaña, del metro Plaza Egaña, del metro Los Orientales y a tres cuadras de la futura línea 6 del metro, estación Villa Frei. A mediacuadra de Diagonal Oriente, Vespucio e Irarrazaval. Inmejorable ubicación, cercana a todo. Acceso peatonal por Los Aliaga y por Diagonal Oriente.Seguridad en directo por celular, alarma comunitaria, cámaras de vigilancia en todo el recinto. Gastos comunes $ 5.000 aprox. Orientación oriente,servicio completo, un estacionamiento, calefacción por calefactor a gas, gas licuado independiente. Dos calefont.Primer piso; living comedor con piso porcelanato nuevo, baño de visitas, cocina amoblada, terraza techada, quincho, servicio completo, lavadero.Segundo piso; tres dormitorios, principal en suite, segundo baño completo.Tercer piso; mansarda, opcional cuarta habitación o amplia sala de estar.TerminacionesPiso baños: cerámicaPiso dormitorios: alfombraTechos: tejaSuministrosAgua caliente: calefónCalefacción: otroCaracterísticas propiedadalarma, antejardín, lavadero exterior, mansarda, pieza de servicio, portón eléctrico, quincho, reja en ventanas, terraza con techo, cocina amoblada,portón automáticoCaracterísticas comunidadaccesos controlados, circuito cerrado de tvGastosGastos comunes: $ 5.000"
87,Departamento,comprar,"2.927,59",82.000.000,Santiago,2,1,"Vendo excelente departamento, Tercer piso, orientación PonienteConsta de 1 dormitorio, con 2 BañosPiso fotolaminado living comedor y dormitorioPiso Porcelanato en CocinaBaño visita con decomural de BambúDormitorio en suite, con walking - closet Cocina amoblada y equipadaComedor de diarioConexión a lavadoraTerraza ampliaIncluye Bodega y Estacionamiento en SubterráneoEdificio cuenta con:3 ascensores MitsubishiEstacionamientos de visitasSalón de eventosGimnasioLavandería con vista panorámicaEdificio año 2008, constructora Danacorp27 pisosExcelente Estado y administraciónCercano a metro Plaza de Armas y Santa AnaCanon Arriendo Departamento y Bodega: $320.000Canon Arriendo Estacionamiento: $80.000Atención Inversionistas: Rentabilidad del 6% !!Gasto Común $ 65.000 app incluye agua calienteContribuciones $55.000 app"
88,Departamento,comprar,"8.250,00",231.076.972,Las Condes,2,3,"Con una ubicación privilegiada y una espectacular orientación ORIENTE para recibir el rico calor de mañana y SUR para evitar el intenso calor de la tarde, en un noveno piso con una linda vista a la cordillera. Todos los servicios que necesita una familia a la mano: colegios (San Juan Evangelista, Compañía de María), centros comerciales, centros médicos, bancos,  Stadio Italiano, cercano a estaciones de Metro (Hernando de Magallanes y Manquehue) . Te invito a conocerlo: DISTRIBUCIÓN: • Hall de acceso con cerámica.• Amplio e iluminado living -comedor con acceso a terraza cerrada con ventanales.• Cocina cerrada de buen tamaño e iluminada, encimera a gas, campana, horno eléctrico, con logia cerrada y bien ventilada. • Dos baños completos y otro más en suite.• Tres dormitorios de buen tamaño (uno para cama 1 ½ plaza en los otros para camas de 2 Plazas).• Dormitorio principal en suite.• Calefacción por losa radiante en piso.• Ventanas de termopanel, para aislación termo-acústicaESPACIOS COMUNES.• Amplia conserjería con estar para visitas.• Piscina amplia, emplazada en un área verde con juegos infantiles incluidos.• Sala de eventos.• Sala de juegos.• Sala de reuniones • Gimnasio.• Estacionamientos de visita.Departamento cuenta con estacionamiento y bodega, los gastos comunes $180.000 Verano $200.000 invierno"
89,Casa,comprar,"11.000,00",308.102.630,Peñalolén,3,4,"Disponible, hermosa y amplia casa aislada con vista Oriente, ubicada en el consolidado Barrio Los Valles, reconocido por su excelente nivel constructivo, sus las amplias plazas y áreas verdes con las que cuenta, su seguridad, la cercanía a las distintas avenidas y autopistas del sector.Barrio Los Valles que ofrece la posibilidad de acceder por su ubicación poder ir caminando a los diversos servicios tales como, colegios; Mayor, Dunalaister, Pumahue, Encuentro, entre otros; Todos los Supermercados Jumbo, Líder, Unimarc, Totus, Sodimac; Clínica Las Condes; Clínica Universidad de Chile; Bancos, Chile, Santander, Itau, Esta espectacular propiedad cuenta con:• Hall de distribución. • 5 dormitorios.• Calefacción central por radiadores.• Cocina ampliada, equipada con logia y gran comedor de diario.• 3 baños completos.• Sala de estar.• Entretecho habilitado, con escalera retráctil. • Terraza techada.• Jardín formado con riego automático.• Piscina.• Estacionamiento techado para dos vehículos con portón automático.No deje de visitar!!!!"
90,Casa,comprar,"14.970,00",419.299.670,Peñalolén,4,4,"Propiedad remodelada y ampliada con gran gusto, rescatando espacios, luz, creatividad. Esta hermosa casa está en condominio Club de Campo Norte, reconocido por su gran seguridad, tranquilidad y la gran experiencia de vivir en familia de manera tranquila, con todo para realizarlo, una vista increíble hacia el valle y hacia la cordillera , además de un excelente estándar de constructibilidad,  locomoción a través de colectivos, colegios, áreas verdes.Condominio de increíble plusvalía ubicado en el límite de Peñalolén y la Reina.DISTRIBUCIÓN:1er Piso• Hall de ingreso.• Amplio Living con grandes ventanales termopanel que miran hacia un amplio ante jardín.• Comedor amplio e iluminado con salida a la terraza del patio.• Gran, moderna e iluminada cocina la cual cuenta con: un buen espacio para comedor de diario, isla central, muebles modernos, prácticos que permiten una utilización total de espacios, aire acondicionado es interno.• Pequeña pieza tipo recibidor para dejar las chaquetas u otros. • Hermoso baño de visita.• Gran logia y bodega en esta última está instalado la central de conexiones de internet y otros.• Pieza de servicio amplia en suite.2do piso • Hall de distribución.• Gran pieza principal, moderna, creativa, iluminada con vista hacia el valle, gran walk in closet, la suite es una sala de baño, moderno de excelente gusto.• Dos dormitorios de buen tamaño.• Baño dormitorios de buen tamaño.• Todos los ventanales son de TermopanelExteriores.• La casa cuenta con riego automático,• Terraza techada y terraza abierta en la loza del techo.• Piscina.• El patio cuenta con doble nivel.• Sector de huerta.• Amplio y simple antejardín.• Dos estacionamientos."
91,Departamento,comprar,"7.000,00",196.065.310,Providencia,2,2,"DISPONIBLILIDAD INMEDIATA!!!Ven a conocer este espectacular departamento de piso 9 , vista sur (habitaciones) poniente(living -comedor) , moderno remodelado, completamente amoblado y en una de las comunas con mejor plusvalía de Santiago, dada su gran ubicación, cerca de todo y con vida de familiar. Departamento ubicado a 15 minutos caminando de la linea Metro Ines de Suarez, cercano a colegios, servicios de todo tipo( restaurantes, gimnasios, etc) plazas, excelente locomoción colectiva, puedes ir a centro de providencia y también al centro de Ñuñoa.DISTRIBUCIÓN:Hall de distribución remodelado amplio e iluminado.Living-comedor juntos con salida a terraza con vista despejada.Cocina integrada.Baño de visitas completo.Dormitorio de buen tamaño ( donde cabe cama plaza y media o de dos plazas simple)Dormitorio principal en suite, amplio , remodelado( baño remodelado)Todas las ventanas son termopanel Puerta ingreso cuenta con chapa con clave o tarjeta.Edificio cuenta con : piscina, quinchos en primer piso y azotea; gimnasio; salas de evento; lavanderia, estacionamientos de visita.NO DEJE DE VISITARLO, ESTE PUEDE SER SU FUTURO DEPARTAMENTO."
92,Casa,comprar,"7.100,00",198.866.243,Maipú,2,4,"Por cambio de ciudad, vendo casa en el mejor sector de Maipu, excelente conectividad. A 12 minutos del metro Del Sol, frente a Arauco Maipú y a 10 minutos del Aeropuerto.Casa muy soleada, gran cocina amoblada, todas sus habitaciones son muy espaciosas. Ventanas del 2° piso termopanel y habitaciones con calefactores.Toda la vivienda cuenta con piso flotante alto tráfico 18 mm, recién remodelado. Pisos de cocina, baños y patio, todo de porcelanato.2 bodegas con muebles, jardín formado.Doble amperaje eléctrico.Cocina con muebles exclusivos y de primer nivel, encimera y horno eléctrico.Ático con escalera telescópica. Portón automático.Excelente ubicación y muy segura.Dormitorio principal y walking closet 36 m2"
93,Casa,comprar,"10.000,00",280.093.300,Peñalolén,3,4,"Disponible hermosa casa aislada con orientación sur-poniente de dos pisos, ubicada en el consolidado Barrio Los Valles, reconocido por contar con amplias plazas y áreas verdes, seguridad y fácil acceso a importantes avenidas y autopistas.El estratégico emplazamiento de este barrio, permite disfrutar de variados servicios como: Colegios (Mayor, Dunalaister, Pumahue, Encuentro, entre otros); Supermercados (Jumbo, Líder, Unimarc, Totus); Bancos (Chile, Santander, Itaú, Bci); Clínicas (Las Condes, Universidad de Chile), Restaurantes, etc. Esta espectacular propiedad cuenta con:• Hall de distribución. • 4 dormitorios.• Calefacción central por radiadores.• Cocina amoblada con comedor de diario • Amplia Logia.• 3 baños completos.• Sala de estar.• Terraza techada con estructura de durmientes de roble• Quincho• Jardín y antejardín con riego automático.• Estacionamiento para dos vehículos con portón automático.• Amplio estacionamiento para visitas.No deje de visitar!!!!"
