,company,subject,date,description
10,Correos chile,No encontro domicilio,2019-10-18,Estimados correos chile indica que el domicilio no corresponde y el que uso es el de mi casilla de correos en la comuna de Paine es por los siguientes códigos de rastreo12800000007000214560962001128000000070002146800400112800000007000214515311001LA DIRECCION ES OFICINA CORREOS PAINEGENERAL BAQUEDANO 890 LOCAL 5CASILLA 69PAINE 
11,Segured ltda. ace compañía seguros (chile) s.a.,Renuncia al seguro,2019-10-18,"buenas tardes.nuevamente informo , por  tercera vez que renuncio al seguro porque me descontaron tres veces la cuota el mismo mes y hoy nuevamente me hicieron el descuento.se los informe de buena forma.me voy a ver en la obligacion dd tomar otras medidas. "
12,Derco center,Ruido en caja de cambio camioneta oroch,2019-10-18,"En agosto compré una oroch al día después que la traje le di partida y se empezó a escuchar un golpeteo fuerte en la caja de cambio,también habri la puerta de atrás y se desconectó la manilla, las revoluciones suben y bajan el motor no trabaja parejo "
13,Claro,No ha llegado mi compra online,2019-10-18,"Compré el día 9 de octubre un celular huawei p30 lite online en el cyber, el cual debía llegar a mi domicilio dentro de 7 días hábiles, los cuales ya han pasado. El número del pedido es 438947777975 .Espero respondan prontamente que ya ha sido bastante la espera y la paciencia que se ha tenido. "
14,Starken ,Cierran antes de lo establecido ,2019-10-18,"Llegue a las 6 a recuperar una encomienda y ya estaba cerrado, el horario dice hasta las 6:15. Por lo que entiendo es horario de ATENCIÓN. Lo que les quede por hacer será después del horario de atención estipulado. Sino sería horario de atencion hasta las 18:00 corregir para evitar problemas y y malos entendidos. Mañana iré a las 10 en punto. O abren a las 10:15? "
15,Metro,Mal servicio,2019-10-18,"Estimados expreso mi molestia por la mala gestión para incidentes de paro de linea y falta de información, des pues de 15 minutos en linea 4 empiezan a informar que tienen problemas con personas en las vías, como un sistema que esta cobrando mas y cada vez mas no implementa mejores medidas de seguridad o contingencia y hacen esperar a los usuarios tanto tiempo para dar comunicados de que tienen la escoba  y mas encima  esperan nuestra comprensión  con lo que cobrar pésimo servicio y mala gestión no tienen tema logístico ni personal para solucionar los problemas como gente capacitada para esto, acá se demostró que Metro esta años luz de ser bueno y seguro, lo único que quieren es que la gente entre para cobrar y después no devolver el dinero, la gente que reclamo de mostró lo malo del sistema no de la mejor forma pero lo demostró, que Metro puede colapsar por cualquier cosa "
16,Claro,Cobro ilegal guapisima cl,2019-10-18,"Desde el 30 de agosto hasta el 14 de octubre me han quitado 990 pesos semanales, un total de 6 cobros por un servicio que jamás he solicitado ni aprobado. Me siento estafada por entregar mi dinero sin mi autorización, que estaba destinado al pago de servicio telefónico. Me di cuenta porque gasto muy poco en llamadas y constantemente mi saldo era muy bajo o nulo.He llamado en varias oportunidades para pedir la devolución del dinero sustraido sin mi autorización y solo recibo como respuesta un mensaje de texto de Claro diciendo que mi reclamo no ha sido aceptado. Cuando llamo y hablo con los ejecutivos ignoran la razón por la que el reclamo ha sido rechazado.Considero irregular, ilegal esta sitiuación y la unica respuesta   que espero es la devolucion total del monto sustraido. "
17,Bci,Cobros indebidos ,2019-10-18,"Abri una cta corriente con linea de credito, al momento de abrir esta cuenta la ejecutiva me explico claramente que no se me haria ningun tipo de cobro , y ha pasado el tiempo y todos los meses se me hacen Cobros de comisiones , seguros y otro tipo de cobros, e hablado en varias ocaciones con la ejecutiva sin respuesta y estos Cobros siguen y siguen . Pesimo banco bci, muy mal servicio. "
18,Tecnopicada," ******n  con tremendo descaro, productos no llegan",2019-10-18,"LLame para pedir un producto, me dijeron que lo solicite por mercado libre, lo compro, me descuentan el total Compre producto $84.990 luego producto no llega, al solicitar explicación en Tecnopicada, ellos dicen que el encargado es mercado libre, quien no hay forma de comunicare, en el numero de seguimiento dice que ""Dirección de entrega errónea. Comunícate con Servicio al Cliente."" y no hay forma de comunicación, osea hay queda el cliente entre 3 empresas las cuales se lavan las manos, en mi dirección recibo mis cuentas, me llegan a diario pedidos de aliexpress sin ningún problema, envíe fotografías de mi casa, mapa marcado y referencias de mi casa en La comuna de La cisterna y el producto nunca llego, plata perdida, en el numero contesta un venezolano el cual solo enreda mas la situación, al final son compañías echas para la  *****a  y nadie hace nada, se deja constancia en el Sernac el cual nos da 18 días para ver que sucede y como chileno se que perderé mi plata. no recomiendo esta tienda una  *****a . "
19,Chilexpres,Cobro por correspondencia recibida,2019-10-18,"Hoy tipo 17,00 horas una persona sin identificación se apersona en Calle Altamira 02094 manifestando cobrar entrega de correspondencia y otros servicios por la suma de $2.400 (dos mil cuatrocientos pesos) dicha persona es atendida por mi esposa de 77 años de edad quien al no tener sencillo le hace entrega de $5000 asegurando este individuo  volver con el vuelto, hecho que no ocurrió.  Lo anterior con el fin de que por favor esa empresa nos informe si existen estas personas para tal efecto. "
20,Falabella,No me llega mi producto,2019-10-18,"Señores,Karen Aguilera es la ejecutiva que tiene nuestro caso desde el miércoles 16/Oct, y nunca ha llamado ni escrito.El refrigerador debió haber llegado el lunes 14/Oct, lo que no ocurrió.Esto nos generó UNA EMERGENCIA.El mismo lunes 14/Oct, dejé el reclamo, con el N°1-73961402285. Me dijeron que ese día me contactarían, por mail, WhatsApp o teléfono, lo que nunca ocurrió.El martes 15/Oct repetí la misma operación, y no he recibido ninguna información concreta. Esto se hizo con el reclamo N°1-74032331198.El miércoles 16/Oct repetí la misma operación, y no he recibido ninguna información concreta.El jueves 17/Oct repetí la misma operación, y no he recibido ninguna información concreta.Hoy viernes 18/Oct repetí la misma operación, y no he recibido ninguna información concreta.No sé si el refrigerador está o no en ruta.Necesito urgente que me den nombre, teléfono y mail de algún gerente, para poner esto en conocimiento, ya que la situación URGE, y Uds. no responden.No quiero hacer que esto escale al SERNAC.Saludos Cordiales, "
21,Uber chile,Chofer groser0,2019-10-18,"el Chofer de Uber patente jv-lx 55 estaba estacionado frente a mi casa como 1 hora, le pregunte amablemente a quien buscaba y me dijo que a nadie, le tome foto de patente, se bajo y me insulto como quizo, luego se fugo.18.10.1920 a las 11:01 de la mañana.  en maipu. "
22,Condor bus,Aire acondicionado,2019-10-18,"El día 18/10/2019 en un recorrido desde Viña del Mar con destino a Santiago con un valor de $4200. El bus con los pasajes mal vendidos puesto que inicialmente era sólo de un piso y con el Aire acondicionado malo ( expulsando Aire caliente) y con las escotillas malas, la maquina con patente BBSX39 nos trae a Santiago en día de manifestaciones yen un taco que imposibilita la bajada de pasajeros. Estamos calcinados en esta maquina sin poder bajar de ella aún. Con mas de 30° al interior del vehículo y en aún un viaje que empezo a las 15:35 y aún no llega  al terminal de buses. Un asco el precio calidad "
23,Splendid ,Termo malo,2019-10-18,"Buenas tardes me encuentro en el gran desagrado de no poder encontrar una solucion a el cambio o reposicion de un calefon de 80 ac de la marca splendid , he estado llamando a la pagina , muy amablemente las personas de sodimac me da unos numeros de los tecnicos de la marca pero LLamo al tecnico indicado quien me trata de explicar algunas cosas y como no lo hace de manera efectiva me deriva directamente a santiago diciendo que el calefon no lo cambiaran y que por venir a revisar cobrara un dinero , no entiendo donde esta el buen servicio y garantia de un equipo que se compro el 8-10-2019 y no funciona SE CUMPLIO CON LOS REQUISITOS DE QUE FUESE UN TECNICO CERTIFICADO POR EL SEC Y este joven insiste en no querer escucharme paso este reclamo directo a Su empresa y espero una pronta respuesta y cambio de este aparato. "
24,Wom,Recarga,2019-10-18,Recargue mi celular y no me a llegado la recarga el número está bien  e estado esperando como 2 horas para que me llegue algún mensaje y para llamar a la compañía me pide tener 100 pesos para hablar con un operador cosa que no puedo hacer por no tener saldo 
25,Paris,Nunca llego mi compra,2019-10-18,"Indignada , desconforme, desepcionada de la tienda. Soy cliente frecuente , compré una televisión me llego un día antes supuestamente mi compra la televisión la fueron a buscar la misma gente de Paris indicando que había un error en el despacho. Y después de ya dos semana aún no tengo mi compra el pedido dice entregado y Nunca me llego la televisión . "
26,Ripley ,Aun no me llega el producto y irresponsables con  la entrega,2019-10-18,hice el 09 de octubre una compra de un iphone 7 plus para el cumpleaños de mi hija lo siguiente ya pasaron mas de 9 días y el producto no me llega no contestan el teléfono no me dan ninguna solución irresponsables con la entrega pésimo servicio ni siquiera llaman para dar una explicación 
27,Mademsa,Venta deshonesta,2019-10-18,"Compre una lavadora Mademsa evolucione 17 kg, en el 2017, la cual a los pocos mese de comprada empezó a saltar, se detenía arrojando error, a lo cual llamé a servicio el cliente donde me cortaban la llamada, o me decían que eso no era para servicio técnico, que debía simplemente acomodar la ropa y ya, y así en varias ocasiones me respondieron lo mismo, el año pasado en diciembre por fin me dijeron que enviarían un técnico a revisión el cual no llegó ni me llamaron, me contacte de nuevo donde me indicaron que cancelaron el servicio porque no me encontraron en casa cuando no me llamaron, ahora hoy un técnico particular me informó que esas lavadoras vienen con defecto de fabrica, que los amortiguadores son de mala calidad y el tanto saltar y hacer movimientos bruscos la lavadora terminó dañando se el panel eléctrico, llamó a hacer el reclamo de Venta deshonesta y lo único que me saben decir es que debí exigir mas y que no pueden hacer más que en iar un técnico y que yo pague la revisión y arreglo cuando ellos muy bien saben que el defecto es de fabrica y que sus lavadoras son de mala calidad, deshonestos "
28,Correos de chile,Bot y copy paste,2019-10-18,"Estimado Cliente:Informamos a usted que hemos tomado conocimiento del caso ingresado a través de este sitio.Agradecemos su contacto y le enviamos un cordial saludo.La única que *** que saben escribir estas ratas  *****s , muevan el  ***o  mejor pobres y tristes ***. "
29,Dr.,Trabas al pago de un vale vista recibido por venta con crédito hipotecario,2019-10-18,"En la venta de un departamento, Scotiabank fue el banco del comprador  y se dejó dos vale vista por el pie inicial a la espera del remanente con crédito hipotecario. Estos vale vista se emitieron (a decisión del banco) a nombre de la sucesión y nominativos (se negaron a hacer vale vista individualizados y tampoco endosable)Como sucesión se emitió un poder a nombre de uno de los miembros, para retirar y cobrar los documentos. Al llegar a Scotiabank(1) Primero se pidió cobrar y convertir en un nuevo vale vista a nombre del representante de la sucesión, se negaron a ello porque no se era cuentacorrentista(2) En vista de eso, se pidió cobrar (se adjuntó poder notarial original e inscripción de la sucesión). También negaron esa opción porque faltaban copia de las DNI y tenían que mandar a la fiscalía para validar la transacción.En resumen, la gestión del banco a la fecha nos ha dejado sin departamento y sin poder cobrar los vale vista bajo la excusa que deben revisar la transacción, lo que demorará el tiempo que ellos consideren,  como si el notario no hubiera hecho ya ese trabajo. "
30,Phillips,Depiladora ipl laser,2019-10-18,"Hola, me compre una Depiladora LASER marca PHILIPS Lumea BRI863 creer encontrar la solucion a mis piernas, me hice el tratamiento como lo indica la caja y luego la guarde. Despues de un tiempo la saque para hacerme nuevamnte el tratamiento, me encontre con la sorpresa de que NO FUNCIONA, enciende y luego de unas pulsaciones se apaga, me puse en contacto con un servicio tecnico de la phillips y la respuesta es que NO TIENE ARREGLO, cancele 10.000mil pesos para que me la revisaran y la Depiladora 150.000mil pesos( tengo la maquina en perfectas condiciones con su caja original, todos sus accesorios nuevos, hasta la boleta de fallabela donde la compre. Porvafor nscto una solucion a mi gran inversion y con mucho esfuerzo que hice al obtener y confiar en la marca de prestigio como es philips.Espero una pronta respuesta y solucion "
31,Forum servicios financieros,Tramitacion prepago,2019-10-18,El dia 14 de octubre solucite prepago de mi deuda automotriz para pagar la totalidad. Ha sido un verdadero parto me han tramitado a la fecha sin respuesra aun. Lo peor en dos ocaciones a traves de mail una ejecutiva caterine llanes no fue capaz de llamarme e inducarme pasos a seguir a traves de un poder simple que debia enviar me tramito todo un dia sin explicarme .atraves de una llamada. Y el vaso que colmo todo fue el mail ejecutivo carlos gonzalez que estaba perdido o bajo efectos de medicamento me mando un mail diciendo que estaba en cobranza judicial...nunca jamas en Forum  me he atrasado ni un solo dia.A la fecha todavia espero el prepago para cancelar y espero una disculpa de parte deForum. Que parece que lo unico que hace es tratar mal a sus clientes . 
32,Carozzi,Caluga suny mascada. estando los dientes marcados. no dan soluciones. es una vergüenza ,2019-10-18,Compré una bolsa de califas Suny de 200 gramos. Abrí la bolsa y tomo la primera Caluga y me encuentro con la gran sorpresa que esta estaba mordida. Se notan los dientes en la Caluga. Realmente inaudito y a la vez antígenico total. Espero solución. Tengo foto de dicha situación. Me impresiona la cantidad de reclamos. Dónde puedo enviar la foto? 
33,Correos de chile,"Envío estancado en ""aceptado por operador logístico""",2019-10-18,"Mi pedído con número 12800000007000214728072001 lleva más de una semana en estado Aceptado por operador logístico. En la pagina de Correos de Chile indican que el número no existe, y  el sitio de Aduanas le pasa el problema a Correos de Chile, cuando se trata de compras en el extranjero. Favor de revisar mi caso. "
34,Uber eat,Mi pedido jamas llego,2019-10-18,"Mi nombre es Bastian Ortega Cordova.El motivo de mi reclamo es porque realice un pedido el día sábado 12 de octubre donde pedí pizza al local papa johns y la pizza jamas llego, el problema de que no llegase el pedido es que eran 3 pizzas lo cual tenia un cotos total de $34.970, entenderán que no es poco dinero. antes de que llegara el pedido me trate de comunicar con el socio repartidor (nilo joel) el cual me indica que la dirección no estaba correcta, entonces le pedí su numero de teléfono e incluso le di el mio para poder comunicarnos, porque el numero que ingresas en Uber jamas funciona o por lo menos me pasa a mi. luego el socio repartidor me indica que que llamara a soporte para saber que hacer y mientras yo le seguía hablando por el chat interno de la plataforma Uber y el socio solo me decía que esperara al soporte luego de eso pasaron mas 15 minutos y el socio conductor me cancelo mi pedido y Uber me indica que el socio espero mas de 10 minutos, por ende el dinero no es REEMBOLSABLE. Desde ese día e enviado quejas a Uber la cual no me han respondido ninguna, me siento estafado porque el problema se visualizo mucho antes, es decir había como solucionarlo. pero hasta ahora perdí ese dinero. no se si el problema esta en la decisión del socio repartidor o del soporte que le indico que cancelara la entrega. pero siento mucha impotencia al saber que pague mucho dinero por algo que ni yo y mi familia no disfrutamos. por ultimo en la noche volví a hacer un pedido con la misma dirección, no la cambie y efectivamente el socio también tubo problemas para llegar a mi depto pero aun así me comunique con el y el llego a mi depto y me entrego el pedido que realice en copec.Estimados, aun sigo reclamando y no hay ninguna respuestas de Uber o del soporte. adjuntare archivos para que vea que es cierto. "
35,Registro civil,Atención preferencial ,2019-10-18,"Estuve más de una hora esperando con mi bebé Atención en la sucursal de Quilicura para poder sacar una cédula de identidad debido a que no cuentan con Atención preferencial. Al consultar con una de las ejecutivas de Atención me indica que la Atención preferente es solo para adultos mayores y discapacitados, no para mujeres con hijos porque sino se llenaría de mujeres con guaguas. Qué pretenden a caso que los bebes se queden en casa cuidándose solos?? Habíamos varias mujeres con bebés esperando por mucho tiempo sin tener ninguna opción más que alguien de buena voluntad te cambie el número de atención. Cómo puede ser tan malo el servicio y ser tan poco empaticas las personas que atienden!! "
36,Cge,Consumo no registrado,2019-10-18,"Me llega una boleta por Consumo no registrado del mes de diciembre, enero, febrero y marzo! Y es obvio que no registraría Consumo si nadie habitó la casa, ya que se arrienda y no habían arrendatarios, es ilógico té cobren un Consumo que jamás se hizo, llegan con sus supuestos Técnicos chantas que lo único que hacen es vender su Ética por un sueldo y  ********o  a gente humilde. Te cambian el medidor según para hacerles análisis donde nisiquiera te dan un informe técnico, no quieren perder esos meses que no consumiste, Pagar tres cuotas de $25.883 en Consumo no registrado. Es una burla lo mal que está este país, y la SEC otra entidad que no sirve para nada. Quien fiscaliza ???? Cueck después preguntan por qué los países se vuelven extremos socialistas. "
37,Claro chile,Compra celular,2019-10-18,"Solicito detalles de mi Compra ya que el numero de seguimiento dice que no existe y tampoco hay nadue que responda por ningun medio ,como es que la empresa Claro no tiene conocimiento de lis envios,y lo mas terrible no hay donde mas consultar,mi Compra la realize el 11 de octubre y no puedo ver el esrado de mi pedido por lo tanto no se donde esta o cuando llegara ,ojala puedan darme una solucion "
38,Correos de chile,Entrega,2019-10-18,"Resulta que para el  cyber compré un producto que al final me salió a valor normal pagando 4.000 de envío para que llegara rapido. Cuento corto. Vinieron el miércoles, sin llamar, como si uno no hiciera nada y fuera un vago de  *****a . No dejaron nota, no mandaron mensaje, nada. Me contacto por twitter y me dicen que mi envío esta siendo devuelto a central por VARIOS INTENTOS FALLIDOS cuando vinieron dos veces. Yo digo, cuando los envíos son gratis hasta 30 días se quedan en sucursal para ir a buscarlas. Y ahora que pagué 4000 por el envío lo devuelven sin siquiera contactarse con uno. ¿Para qué piden número de contacto si son tan miserables para llamar a quienes le ofrecen un servicio? Porque si, ustedes ofrecen un servicio, no lo dan fiado, se paga por él y al final no hacen nada como la gente. Al menos Tur bus envía un mensaje de que el envío llego, con ustedes nada, hay que estar pendiente. Entiendan, todos hacemos cosas y no vamos a estar todo el día en la casa. De hecho, tendría que haber llegado el martes, día que estuve en la casa esperando y no llegó. No estoy para el juego de ustedes. Ahora me devuelven el paquete DEL QUE PAGUE UN VALOR POR EL ENVÍO. "
39,Wom,Entrega de equipo cancelado,2019-10-18,"Con fecha 16 del actual me presente en la sucursal de wom de la ciudad de osorno para adquirir un equipo Huawei p30 al momento de realizar el pago con mi tarjeta de crédito visa del banco estado la maquina arroja u. Error y se apaga no arrojando el baucher,  por lo que reviso en mi telefono y en mi cuenta ya figuraba la venta realizada pero no se me entrego el equipo que compre,  por lo que concurri al banco estado para solicitar mi estado de cuenta con fecha 17 del actual al mantener dicho documento vuelvo a la sucursal con el medio de prueba para que se me entregara el equipo no habiendo solución a lo que el vendedor me responde que no le sirve el documento que presente,  por lo que decido llamar a carabineros y realizar una denuncia debido a que yo les mostré el comprobante donde se me descontó el dinero y no se me entrego el producto,  quisiera que el tema se solucione debido a que no es justo que se me cobre por algo que no se me entrego.  Solo pido que me entregue el equipo.  Gracias "
40,Mundo pacífico ,Sin servicio de tv cable al 5to día de instalación ,2019-10-18,"El día Lunes 14/10/2019,mi familia contrató el servicio de TV cable de esta pésima empresa,y el día de la instalación, todo funcionaba perfectamente,pero al día siguiente el servicio de televisión fue suspendido,no teniendo señal en nuestro televisor,y ya llevamos 4 días sin servicio de TV,nos sentimos  ********s  y pasados a llevar por parte de esta porquería de empresa,ninguna seriedad, hemos llamado más de 30 veces y no contestan,y lo peor del caso es que ya no figuramos en el sistema, NO CAIGAN EN ESTA  *****a ,NO CONTRATEN NINGUN servicio DE ESTA EMPRESA. "
41,Salcobrand online,No entregan pedidos no contestan teléfono ni mail,2019-10-18,"9 de octubre de 2019 hice una compra online no menor a Salcobrand  con despacho a domicilio. Hoy viernes 18 de octubre, lo sigo esperando. No puedo hacer reclamos porque no contestan el servicio al cliente y tampoco contestan los dos mails que tienen. Son unos irresponsables, juegan con las personas y más con productos súper necesarios como son los de La farmacia! Nunca más compro en Salcobrand. Espero que lleguen mis productos! "
42,Movistar,Cobro injustificado,2019-10-18,"tenia mi cuenta Movistar hace mas de 3o años y el 26 de agosto de este año por problemas de las conecciones externas con mal mantenimiento de movistar, me quede sin linea fija.Aguante con el desperfecto de mi linea hasta el 23 de septiembre, cuando sin ninguna solucion, en la que nunca volvio el tono del telefono. Opte por ir a de baja mi linea, quedando sin ella desde el 24 de septiermbreHoy cual es mi sorpresa que me llega la cuenta por $22141. la que equivale a el periodo del 7 de agosto al 6 de septiembre y del 7 de septiembre al 24 de septiembre.Por que debo pagar esa cantidad si yo no tuve servicio desde el 26 de agosto al 24 de septiembre, lo unico legitimamente a cobrar seria un periodo del 7/8 al 25/08 como mucho es decir 19 dias "
43,Clinica red salud providencia ex avansalud,Suspende hora de examen otorrino,2019-10-18,"Hostigan por todos los medios para que uno confirme hora y para suspender examenes complejos aplicados por otorrino infantil solo lo hacen un par de horas antes sin preocuparse de que la persona se organiza con su trabajo, el colegio y todo lo que eso conlleva... ademas de ser un examen delicado que se solicitó hora con bastante anticipación, no son capaces de contar con un profesional que pueda reemplazar a la otorrino que simplemente se digna a no ir y avisar a ultima hora. Para ser una ""Clinica"" dejan harto que desear... con razón están llenos de reclamos... ni pensar en solicitar ningún tipo de servicio en ese nefasto lugar. "
44,Almacenes paris,Burocracia en entrega de producto,2019-10-18,"Buenas tardes:Realice una compra online en la cual seccione que retiraría otra persona, escribí el nombre de mi hijo ya que es un producto para él.  Al ir a retirarlo le indicaron que no podían entregarse ya que tenía que ir yo o de lo contrario enviar un poder simple vía correo lo cual realice luego de esto le solicitaron que enviara mi cédula de identidad lo cual también realice pero luego le indican que no sirve porque esta escaneada (claramente se envié así ya que me encuentro trabajando).  Considero que es mucha Burocracia considerando que les envié todo lo que solicitaron incluso una imagen donde me están avisando que estaba listo para retiro.  Nunca había pasado tantas molestias en mis compras online en distintas tiendas.  Con todo lo sucedido no dan ganas de utilizar este servicio. "
45,Servinco,Huelga encontra servinco,2019-10-18,Hola me llamo oscar y quisiera pedir a cada uno ke hemos sido molestado plr esta empresa de  *****a  por deudas hagamos un reclamo en contra te llaman dos o tres veses al dia por deuda llaman a familiares y amigos mas veses ke ami mi familia esta mal fui ala empresa no isiseron nada hable en sernac nada y para ke hablar en la linea 6002002525 entonces mi opcion es ir ha la empresa ubicada en teatinos 251 en moneda y ponernos de acuerdo en algun dia  y pedir ke no nos molesten de la forma ke lo hacen si la intencion no es no pagar si no ke no me llamen acepto cualquier sugerencia 
46,Savory ,,2019-10-18,Hoy en el mall padeo del marEn el local de Savory local 322 A ..PUERTO MONTTCompre un maxi mani morocho ice estaba vacio de mas de la mitad ..Y un tentacion. Con mas aire y vacio que crema y helado.. Es una  *****a  que te cobren ...por buenos productos... Y te den cosas medias vacias.......ESTO FUEL LO QUE SE ME ENTREGO.... 
47,Adidas ,No llegan productos ,2019-10-18,"Realize una compra el segundo dia de cyber monday y entiendo que sea temporada alta pero tengo dias esperando y les envio correos y no responden nada dice nada , hago el seguimiento del paquete y esta aun en adidas, dice a la espera de ser empaquetado , tiene asi un tiempo, cuando lo habitual sllo tardan 3 dias o hasta 2, vivo en santiago centro, no deberian tardar tanto, "
48,Corona ,Llamadas molestas,2019-10-18,Llaman a mi numero llamando por otra persona que no corresponde. Jamas he ocupado la tarjeta Corona ni menos comprado algo allí 
